"店名","評価点数","口コミ件数","保存件数","ジャンル","最寄駅","予算(夜)","予算(昼)","店舗URL","住所","郵便番号","緯度","経度","電話番号","営業時間","定休日","席数","個室","禁煙喫煙","予約","受賞・百名店","駐車場","交通手段","写真URL","区分"
"Ramen Afro Beats","3.74","1476","33139","ラーメン","新宿御苑前駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130402/13282860/","東京都新宿区新宿1-16-10","1600022","35.690020737887444","139.71109578335023","","月・火・水・木・金・土・日・祝日 11:00 - 14:30 17:00 - 21:00","なし","12席 （カウンターのみ）","無","全席禁煙","予約不可","","無","東京メトロ新宿御苑前駅より徒歩3分 新宿御苑前駅から159m","https://tblg.k-img.com/restaurant/images/Rvw/259228/640x640_rect_63c5d6524083a61a8c2b414d2d2322dd.jpg","初台SC"
"豚骨 蒼翔","3.74","779","21723","ラーメン/つけ麺","東高円寺駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1319/A131904/13297036/","東京都杉並区和田3-60-10","1660012","35.69750203867186","139.66021558462324","","月・水・木・金・土 11:00 - 15:00 17:00 - 21:00 L.O. 料理20:45 日 11:00 - 15:00 L.O. 料理14:55 17:00 - 21:00 L.O. 料","","11席 （カウンター10席 4人テーブル1卓）","無","全席禁煙","予約不可","","無","丸の内線東高円寺駅徒歩２分 東高円寺駅から207m","https://tblg.k-img.com/restaurant/images/Rvw/265429/640x640_rect_a42f736eadf4b120e165ba2de2c81048.jpg","初台SC"
"きんもち","3.74","744","21645","カレー","初台駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131807/13009223/","東京都新宿区西新宿3-9-1 西新宿ティーオービル 1F","1600023","35.68510762071411","139.6897677167265","","月・火・水・木・金 11:00 - 14:00 土・日・祝日","土曜","10席 （カウンター席のみです）","無","全席禁煙","予約不可","カレー 百名店 2026","無","京王新線初台駅東口徒歩7分 初台駅から488m","https://tblg.k-img.com/restaurant/images/Rvw/129447/320x320_rect_129447988.jpg","初台SC"
"イエンセン","3.74","672","28755","パン/ケーキ","代々木八幡駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131810/13007309/","東京都渋谷区元代々木町4-3","1510062","35.669972078697974","139.68730148432618","03-3465-7843","月・火・水・木・金・土 09:00 - 19:00 日・祝日","","","無","全席禁煙","予約不可","パン 百名店 2022","無","千代田線代々木公園駅1番出口徒歩３分 小田急線代々木八幡駅徒歩２分 代々木八幡駅から184m","https://tblg.k-img.com/restaurant/images/Rvw/242033/640x640_rect_d54e519ada848635c95bdbf7709b1108.jpg","初台SC"
"虎ノ門 岡埜榮泉 新宿タカシマヤ店","3.74","629","13056","和菓子/大福/どら焼き","新宿駅","～\999","-","https://tabelog.com/tokyo/A1304/A130401/13056538/","東京都渋谷区千駄ヶ谷5-24-2 新宿タカシマヤ B1F","1510051","35.68784865377621","139.70208406765263","03-5361-1111","10:00 - 19:30 営業時間・","","（なし）","無","全席禁煙","予約可","和菓子・甘味処 百名店 2023","有 タカシマヤの駐車場あり","JR「新宿駅」新南口より徒歩1分、 都営新宿線・都営大江戸線・京王新線「新宿駅」より徒歩5分。 東京メトロ副都心線「新宿三丁目駅」より徒歩3分。（地下1階地下鉄口直結） 新宿駅から335m","https://tblg.k-img.com/restaurant/images/Rvw/197270/640x640_rect_122e4d42fa4bd1d82f444b9f17d945ea.jpg","初台SC"
"産直屋 たか","3.74","529","72239","居酒屋/海鮮","神泉駅","\10,000～\14,999","\10,000～\14,999","https://tabelog.com/tokyo/A1303/A130301/13008327/","東京都渋谷区円山町12-2 ライオンズマンション渋谷 B1F","1500044","35.658521878707425","139.69415324420572","090-6163-9708","月・火・水・木・金・土・祝日・祝前日・祝後日 19:15 - 22:00 日 18:15 - 21:00","日曜日","17席 （カウンター１２名様小上がりテーブル席５名様）","無","全席禁煙 店舗前の喫煙場所・２０１２年７月より 消防法により 禁止となりました。喫煙者の皆様にはお手数お掛け致しますが 携帯灰皿 ご持参お願いします。","完全予約制","Tabelog Award 2020 Bronze / 居酒屋 百名店 2025","有 店舗目の前にコインパーキングあり","京王井の頭線【神泉駅】徒歩３分 東京メトロ半蔵門線・東急田園都市線【渋谷駅】徒歩８分 ＪＲ山手線【渋谷駅】徒歩10分 東京メトロ銀座線【渋谷駅】徒歩11分 神泉駅から146m","https://tblg.k-img.com/restaurant/images/Rvw/122304/640x640_rect_122304230.jpg","初台SC"
"USHIGORO S. SHINJUKU","3.74","476","27359","焼肉/日本料理/ステーキ","新宿三丁目駅","\20,000～\29,999","\15,000～\19,999","https://tabelog.com/tokyo/A1304/A130401/13268688/","東京都新宿区新宿3-17-10 HULIC & New SHINJUKU 11F","1600022","35.692122937883454","139.70277728337732","03-3341-1129","月・火・水・木・金 17:00 - 23:30 L.O. 料理21:00 土・日・祝日 12:00 - 15:00 L.O. 料理13:00 17:00 - 23:30 L.O. 料理21:00","","54席","有 （2人可、4人可、6人可、8人可）","全席禁煙 ※加熱式タバコ、電子タバコも含む","予約可","焼肉 百名店 2025","無","東京メトロ 丸の内線 新宿三丁目駅 B9出口0分 JR山手線 新宿駅 東口 3分 新宿三丁目駅から178m 新宿三丁目駅から238m","https://tblg.k-img.com/restaurant/images/Rvw/190764/320x320_rect_b7d7326518984bf03d6d4634485a1f76.jpg","初台SC"
"ラ・ファソン 古賀","3.74","361","34973","フレンチ/カレー","代々木上原駅","\20,000～\29,999","\6,000～\7,999","https://tabelog.com/tokyo/A1318/A131811/13155778/","東京都渋谷区上原1-32-5 ロイヤルテラス 1F","1510064","35.66883853789127","139.68087668315746","03-5452-8033","月・火・金・土・日・祝日・祝前日・祝後日 11:30 - 14:30 L.O. 料理13:00 ドリンク14:30 18:00 - 21:30 L.O. 料理20:00 ドリンク21:30 水・木","","22席 （カウンター6席 テーブル16席）","無 ※テーブル席貸切時は着席で16席、立食は応相談 ※ランチタイムに限り、お席の指定は承れません。","全席禁煙","予約可","Tabelog Award 2020 Bronze / フレンチ 百名店 2023","無","小田急小田原線 代々木上原南口1番出口 徒歩1分 東京メトロ千代田線 代々木上原南口1番出口 徒歩1分 代々木上原駅から108m","https://tblg.k-img.com/restaurant/images/Rvw/130667/640x640_rect_130667860.jpg","初台SC"
"L'Octave Hayato KOBAYASHI","3.74","195","27843","フレンチ","北参道駅","\10,000～\14,999","\8,000～\9,999","https://tabelog.com/tokyo/A1309/A130901/13186978/","東京都渋谷区千駄ヶ谷3-30-9 モデリアブリュット 101","1510051","35.67758803869963","139.70770915438882","03-5770-8827","","不定休","10席 （カウンター6席、テーブル4席）","無 大人4名様以上のご予約の場合は貸切料無料","全席禁煙","完全予約制","Tabelog Award 2022 Bronze / フレンチ 百名店 2025","無 徒歩圏内に多数コインパーキング有","東京メトロ副都心線 北参道駅２番出口 徒歩3分 大江戸線 国立競技場駅 徒歩8分 JR総武線 千駄ヶ谷駅 徒歩8分 JR山手線 代々木駅西口 徒歩8分 東京メトロ銀座線 外苑前駅３番出口 徒歩12分 ※北参道駅は急行は止まりませんので、お気をつけください。 北参道駅から211m","https://tblg.k-img.com/restaurant/images/Rvw/94121/640x640_rect_94121754.jpg","初台SC"
"リストランテ 濱崎","3.74","119","11204","イタリアン","明治神宮前駅","\20,000～\29,999","\15,000～\19,999","https://tabelog.com/tokyo/A1306/A130601/13270773/","東京都渋谷区神宮前1-5-3 東郷記念館 2F","1500001","35.671620537897724","139.70671608316746","03-5772-8520","火 18:00 - 23:00 L.O. 20:00 水・木・金・土 12:00 - 15:00 L.O. 料理13:00 ドリンク13:30 18:00 - 23:00 L.O. 20:00 月・日","","28席","有 ４名様以上８名様まで 個室料金 昼８０００円税込み 夜１００００円税込み","全席禁煙","予約可","イタリアン 百名店 2025","無","JR原宿 竹下口 徒歩５分 明治神宮前駅 ５番出口 ７分 明治神宮前駅から365m","https://tblg.k-img.com/restaurant/images/Rvw/212244/640x640_rect_ca82bc0fb7b9502f6f851af2499270bb.jpg","初台SC"
"らぁめん 満来","3.73","3754","95614","ラーメン/つけ麺","新宿西口駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130401/13000808/","東京都新宿区西新宿1-4-10","1600023","35.692978798686724","139.69788937455115","03-3340-2727","11:00 - 23:00 営業時間・","","15席 （カウンター席のみ）","無","全席禁煙","予約不可","","無 近隣にパーキングあり","「新宿」駅(西口)から徒歩５分です。 小田急ハルクの向かいの路地を進み右側 新宿西口駅から131m","https://tblg.k-img.com/restaurant/images/Rvw/52785/640x640_rect_52785864.jpg","初台SC"
"BERG","3.73","2883","76996","カフェ/ビアバー/パン","新宿駅","\1,000～\1,999","～\999","https://tabelog.com/tokyo/A1304/A130401/13004332/","東京都新宿区新宿3-38-1 ルミネエスト新宿店 B1F","1600022","35.69183733788306","139.70099188337568","03-3226-1288","07:00 - 23:00 L.O. 22:30","","45席 （立ち飲みカウンターとテーブル席）","無","全席禁煙","予約不可","カフェ 百名店 2025","有 新宿駅ビル・ルミネエストの地下駐車場などを利用","ＪＲ新宿駅東口改札から出て左へ（丸ノ内線方向へ） 徒歩15秒（150m） 丸ノ内線新宿駅改札(A9出口)からJR新宿駅方向へ 徒歩15秒（階段上ってすぐ右） 新宿駅から185m","https://tblg.k-img.com/restaurant/images/Rvw/240510/640x640_rect_50457359026ce368f2bab7ef16da902a.jpg","初台SC"
"みのりんご","3.73","1897","66471","カレー","原宿駅","～\999","～\999","https://tabelog.com/tokyo/A1306/A130601/13108716/","東京都渋谷区神宮前1-22-7 ウエストビル 1F","1500001","35.67252760870152","139.70353864434063","03-6447-2414","月・火・水・木・金 11:00 - 15:00 土・日・祝日 11:30 - 18:30 営業時間・","","13席 （カウンター11席／テーブル２席）","無","全席禁煙 11：30～14：00は禁煙（時間分煙）","予約不可","カレー 百名店 2026","無","ＪＲ山手線【原宿駅】竹下口 徒歩２分 東京メトロ千代田線【明治神宮前駅】徒歩６分 東京メトロ副都心線【明治神宮前駅】徒歩７分 原宿駅から288m","https://tblg.k-img.com/restaurant/images/Rvw/167325/640x640_rect_b07293fa7249779d2b379d9107a900dd.jpg","初台SC"
"ストリーマー コーヒーカンパニー SHIBUYA","3.73","1271","51813","カフェ","渋谷駅","～\999","～\999","https://tabelog.com/tokyo/A1303/A130301/13109635/","東京都渋谷区渋谷1-20-28 宮川ビル 1F","1500002","35.663463037902034","139.703938983087","03-6427-3705","08:00 - 20:00","不定休","56席 （テーブル28席（12人掛け長テーブル×1、2人掛けテーブル×8）、カウンター13席、店外テラス15席）","無","","予約不可","カフェ 百名店 2025","無","渋谷駅（徒歩7分） 明治神宮前駅（徒歩8分） 表参道駅(徒歩8分) 渋谷駅から544m","https://tblg.k-img.com/restaurant/images/Rvw/350040/640x640_rect_838be5fe75982c43754428975695944c.jpg","初台SC"
"イーグル","3.73","1009","63020","バー/ビストロ/バル","新宿西口駅","\5,000～\5,999","-","https://tabelog.com/tokyo/A1304/A130401/13000922/","東京都新宿区新宿3-24-11 セキネビル　Ｂ１Ｆ・Ｂ２Ｆ","1600022","35.69285463788261","139.70156458338556","03-3354-7700","17:00 - 23:30","","50席","無","全席禁煙","予約可","バー 百名店 2022","無","JRまたは地下鉄丸の内線新宿駅 東口から歩いて２分程度。アルタの裏の赤い看板が目印。 新宿西口駅から235m","https://tblg.k-img.com/restaurant/images/Rvw/125797/320x320_rect_125797843.jpg","初台SC"
"中華そば こてつ","3.73","989","38194","ラーメン/つけ麺","下北沢駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131802/13198320/","東京都世田谷区北沢2-39-13","1550031","35.664629058694686","139.66634308428686","03-5465-0044","月 11:30 - 15:00 L.O. 14:50 水・木・金・土・日 11:30 - 15:00 L.O. 14:50 17:00 - 21:00 L.O. 20:50 火","","8席 （カウンターのみ）","無","全席禁煙","予約不可","","無 自転車は店の真前のみ可","下北沢駅から356m","https://tblg.k-img.com/restaurant/images/Rvw/198149/640x640_rect_28d97c341f0aa4aa39684e7945f3dc4a.jpg","初台SC"
"シェフス","3.73","798","53993","中華料理","新宿御苑前駅","\10,000～\14,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130402/13000884/","東京都新宿区新宿1-24-1 藤和ハイタウン　１Ｆ","1600022","35.68974163386856","139.71420751349154","03-3352-9350","月・火・水・木・金・土 11:00 - 14:00 L.O. 13:45 17:30 - 22:00 L.O. 21:00 日・祝日","","20席 （テーブル20席）","無","全席禁煙","予約可","中国料理 百名店 2026","無 近隣にコインパーキングあり","メトロ丸ノ内線「新宿御苑前駅」 大木戸門出口より徒歩５分 新宿御苑前駅から339m","https://tblg.k-img.com/restaurant/images/Rvw/191357/640x640_rect_ed90e9bfbab0b01bdfa664def7735a8c.jpg","初台SC"
"DONSUKE BAKERY","3.73","666","27523","パン/サンドイッチ/ベーグル","東新宿駅","～\999","-","https://tabelog.com/tokyo/A1304/A130401/13020179/","東京都新宿区新宿7-13-3","1600022","35.698416737882056","139.71094488343513","03-3203-6671","","月曜日","（テイクアウトのみ）","無","全席禁煙","予約可","パン 百名店 2022","無","都営大江戸線・東京メトロ副都心線｢東新宿｣駅から徒歩4分。 東新宿駅から320m","https://tblg.k-img.com/restaurant/images/Rvw/13940/640x640_rect_13940672.jpg","初台SC"
"覆めん 花木","3.73","557","18178","ラーメン","東中野駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1319/A131901/13252274/","東京都中野区東中野1-31-8 井上ビル 1F","1640003","35.703977637869535","139.6827114835111","","火・水・木・金・土 11:00 - 14:30 17:00 - 19:45 日・祝日 11:00 - 17:00 月","","6席 （カウンターのみ）","無","全席禁煙","予約不可","","無","JR東中野駅西口、都営大江戸線東中野駅A1・A3出口を出て山手通りを南に徒歩3分 東中野駅から275m","https://tblg.k-img.com/restaurant/images/Rvw/181875/640x640_rect_1757b0f9ded0b90728a8c25a35a4a72d.jpg","初台SC"
"sio AOYAMA","3.73","416","42040","イタリアン/イノベーティブ/レストラン","表参道駅","\30,000～\39,999","\10,000～\14,999","https://tabelog.com/tokyo/A1306/A130602/13262762/","東京都港区北青山3-4-3 ののあおやま民活棟 2F","1070061","35.66759870870778","139.71336508428394","03-6804-5699","火・水・木・金・土・日・祝日・祝前日・祝後日 12:00 - 15:00 17:00 - 23:30 月","月曜日","14席 （テーブル席、カウンター席、半個室 ）","有 （6人可） 個室は半個室となります。","全席禁煙 建物内に喫煙スペースあり","完全予約制","","無","地下鉄表参道駅A3出口より徒歩7分 表参道駅から280m","https://tblg.k-img.com/restaurant/images/Rvw/275546/320x320_rect_0d7301d04c9d1d9e00a87919fa90e98e.jpg","初台SC"
"サンフォコン","3.73","213","16455","フレンチ/ビストロ/ジビエ料理","代々木上原駅","\15,000～\19,999","\8,000～\9,999","https://tabelog.com/tokyo/A1318/A131811/13140057/","東京都渋谷区西原3-5-3 小林ビル1F","1510066","35.66999273789071","139.68137948316877","070-4383-3567","","","12席 （空調故障のため6/30までテーブル席使用不可。最大時 カウンター8席、テーブル席2卓ございます。）","無","全席禁煙","予約可","フレンチ 百名店 2023","無 当店はワインとジビエのお店です。自転車やお車でのご来店はご遠慮ください","小田急線「代々木上原駅」北口2より徒歩2秒 改札を出て正面のエスカレーターで下の階に降り、まっすぐ進むと三菱UFJ銀行とサンマルクカフェさんがあります。 サンマルクカフェさんの裏の階段を下り、その横断歩道を渡ったところが当店のドアです。 代々木上原駅から186m","https://tblg.k-img.com/restaurant/images/Rvw/350089/640x640_rect_e46e9264ba8ba0028358197350b5e1a9.jpg","初台SC"
"竹ノ下そば","3.73","130","10606","そば","原宿駅","\20,000～\29,999","\5,000～\5,999","https://tabelog.com/tokyo/A1306/A130601/13286285/","東京都渋谷区神宮前1-20-12","1500001","35.6716974387023","139.70432968433164","03-6447-1032","火・水・木・金・土・日 11:30 - 15:00 L.O. 14:30 月","","14席 （カウンター4、テーブル10）","無","全席禁煙","予約可","そば 百名店 2025","無","原宿駅から徒歩2分 原宿駅から249m","https://tblg.k-img.com/restaurant/images/Rvw/353593/640x640_rect_6dddc19b9fc39b97cb16d78d5f7d554b.jpg","初台SC"
"ガンジー","3.72","4290","99970","カレー","新宿三丁目駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130401/13000880/","東京都新宿区新宿3-17-21 新三ビル 2F","1600022","35.6919119686892","139.70350410453642","03-3352-8055","月・火・水・木・金・土・日・祝日 11:30 - 21:00 L.O. 20:30 12/31 11:30?16:30営業 1/1 休業 1/2?通常営業","","16席 （2人席×4、カウンター8席）","無","全席禁煙","予約不可","カレー 百名店 2026","無","・東京メトロ丸ノ内線【新宿三丁目駅】B5出口より徒歩1分 ・各線【新宿駅】東口より徒歩5分 ・西武新宿線【西武新宿駅】より徒歩8分 新宿三丁目駅から172m","https://tblg.k-img.com/restaurant/images/Rvw/246703/640x640_rect_38d0e5e4500b02c5e13e7d415239e53a.jpg","初台SC"
"Paul Bassett 新宿","3.72","2408","94009","カフェ/ケーキ/パン","西新宿駅","～\999","～\999","https://tabelog.com/tokyo/A1304/A130401/13026041/","東京都新宿区西新宿1-26-2 新宿野村ビル B1F","1600023","35.692838337880566","139.6951130833899","03-5324-5090","月・火・水・木・金 07:30 - 20:00 L.O. 19:30 土・日・祝日 09:00 - 20:00 L.O. 19:30","","58席","無","全席禁煙","予約可","カフェ 百名店 2025","有","東京メトロ丸ノ内線【西新宿駅】徒歩４分 ＪＲ中央線他【新宿駅】西口 徒歩７分 京王本線、小田急小田原線【新宿駅】徒歩８分 都営地下鉄新宿線【新宿駅】徒歩９分 西新宿駅から255m","https://tblg.k-img.com/restaurant/images/Rvw/44603/640x640_rect_44603593.jpg","初台SC"
"麺家 たいせい","3.72","2022","53244","ラーメン","中野坂上駅","～\999","～\999","https://tabelog.com/tokyo/A1319/A131903/13282456/","東京都中野区中央2-2-1 ベル中野坂上","1640011","35.69724777867904","139.6822618646052","03-3227-6062","11:00 - 20:00","","14席 （カウンターのみ）","無","全席禁煙 外で並ばれているお客様も禁煙になります。","予約不可","","無 近隣にコインパーキングあり","中野坂上駅徒歩1分 中野坂上駅から21m","https://tblg.k-img.com/restaurant/images/Rvw/362282/640x640_rect_02e906d3724984fa48173902206af829.jpg","初台SC"
"千里眼","3.72","1854","58454","ラーメン","東北沢駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131811/13099150/","東京都目黒区駒場4-6-8 佐藤ビル　1F","1530041","35.66402184869895","139.67849992427224","03-3481-5773","月・火・木・金・土・日 11:00 - 15:00 17:00 - 21:00 水","","12席 （カウンターのみ）","無","全席禁煙","予約不可","","無 お店から東北沢方面100m先右手CP30台位、東大駒場リサーチキャンパス東側沿いの通りにCP10台有り","・小田急線小田原線「東北沢」駅(東口)より、徒歩８分 ・京王井の頭線「駒場東大前」駅または「池ノ上」駅より、徒歩10分 東急バス[渋55]バス停は駒場ﾘｻｰﾁｷｬﾝﾊﾟｽと代々木上原の中間辺り 東北沢駅から516m","https://tblg.k-img.com/restaurant/images/Rvw/159319/640x640_rect_159319327.jpg","初台SC"
"般゜若 PANNYA CAFE CURRY","3.72","1398","54934","カレー/インドカレー","下北沢駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1318/A131802/13215255/","東京都世田谷区北沢2-33-6 スズキビル1Ｆ","1550031","35.6630341586965","139.66883637426903","03-3485-4548","月・火 11:30 - 16:00 L.O. 15:30 木・金・土・日 11:30 - 16:00 L.O. 15:30 17:30 - 21:30 L.O. 21:00 水","水曜","21席 （カウンター3席、テーブル席ローチェア6人席×1・4人席×1・2人席×2、ハイチェア4人席×1）","無","全席禁煙","予約不可","カレー 百名店 2026","無 下北沢交番脇の路地を本多劇場方面に入り、ガラス店の角を右折するとコインパーキングがあります。","小田急線・京王井の頭線「下北沢」駅 中央口・東口から約250メートル 茶沢通りの下北沢交番、前方の一番街商店街を入り、共楽商事の角を左へ、こはぜ珈琲の角を左、 路地中ほどの右側です。「般ﾟ若」の壁看板があります。 下北沢駅から228m","https://tblg.k-img.com/restaurant/images/Rvw/188478/640x640_rect_400e50fb7367da68ee8ceeea662d9f51.jpg","初台SC"
"Paul Bassett 渋谷ヒカリエ内ShinQs 東横のれん街","3.72","1327","47296","カフェ/ケーキ/パンケーキ","渋谷駅","～\999","～\999","https://tabelog.com/tokyo/A1303/A130301/13140156/","東京都渋谷区渋谷2-21-1 渋谷ヒカリエ ShinQs by TOKYU DEPARTMENT STORE 東横のれん街 B2F","1500002","35.65874673790482","139.70325438303985","03-5468-3165","月・火・水・木・金・土 11:00 - 21:00 日・祝日 11:00 - 20:00","","37席","無","全席禁煙","予約不可","カフェ 百名店 2025","有 ヒカリエ駐車場をご利用ください","渋谷駅から１分。 渋谷駅から172m","https://tblg.k-img.com/restaurant/images/Rvw/134323/640x640_rect_134323904.jpg","初台SC"
"菱田屋","3.72","1293","94124","食堂/海鮮/とんかつ","駒場東大前駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1318/A131801/13010480/","東京都目黒区駒場1-27-12","1530041","35.65763585870535","139.68586358420256","03-3466-8371","月・火・水・木・金 11:30 - 14:00 L.O. 料理13:50 17:30 - 22:00 L.O. 料理21:30 土 17:30 - 22:00 L.O. 料理21:30 日・祝日","","26席 （カウンター4席、テーブル22席）","無","全席禁煙","予約不可","食堂 百名店 2026 / 定食 百名店 2021","無 近所にコインパーキング有り","駒場東大前駅東口から徒歩３分。 駒場東大前駅から210m","https://tblg.k-img.com/restaurant/images/Rvw/265808/640x640_rect_fe71e0af5f5622b0647ac3c8d1f3c6d5.jpg","初台SC"
"ゴントラン シェリエ 東京青山店","3.72","1067","43568","パン/カフェ","表参道駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1306/A130602/13260920/","東京都渋谷区神宮前5-51-8 ラ・ポルト青山 1F・2F","1500001","35.66280112870959","139.70948531423818","03-6450-6184","月・火・水・木・金・土・日・祝日・祝前日・祝後日 07:30 - 19:30","無休","48席 （1階テラス14席、2階34席）","有 （6人可） 2階個室あり（6名) 予約のみ","全席禁煙","予約不可","","無","東京メトロ表参道駅B2出口より徒歩3分 表参道駅から380m","https://tblg.k-img.com/restaurant/images/Rvw/185166/640x640_rect_953315b0a98455be24aa1656153ced6c.jpg","初台SC"
"チキュウ マサラ","3.72","940","26517","カレー","新宿三丁目駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130401/13248884/","東京都新宿区新宿3-11-12 永谷テイクエイト 2F","1600022","35.691673472885896","139.7067543691392","","火・水・木・金・土 11:30 - 15:30 L.O. 料理15:00 17:30 - 21:00 L.O. 料理20:30 日 11:30 - 15:30 L.O. 料理15:00 月","","6席 （カウンター6席）","無","全席禁煙","予約可","カレー 百名店 2026","無 近隣にコインパーキングあり","東京メトロ・都営地下鉄新宿三丁目駅C6出口徒歩1分 新宿駅徒歩15分 新宿三丁目駅から190m","https://tblg.k-img.com/restaurant/images/Rvw/362314/640x640_rect_4c6511b0ac9f94e069c339f622e8d6e9.jpg","初台SC"
"魚力","3.72","803","62974","食堂/海鮮/居酒屋","代々木公園駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1318/A131810/13012554/","東京都渋谷区神山町40-4","1500047","35.66477843870309","139.6930201442697","03-3467-6709","月・火・木・金・土 11:00 - 14:10 17:30 - 19:20 水 11:00 - 14:10 日・祝日","","40席 （１階カウンター席9席 ２階テーブル席25席）","無","全席禁煙","予約可","食堂 百名店 2026 / 定食 百名店 2021","無","小田急小田原線 代々木八幡駅から 徒歩10分 JR各線 渋谷駅から 徒歩12分 代々木公園駅から493m","https://tblg.k-img.com/restaurant/images/Rvw/244193/640x640_rect_5741c7e194030fc83ee54b871517f0ff.jpg","初台SC"
"アンセーニュダングル 原宿店","3.72","745","28853","喫茶店/カフェ","原宿駅","\1,000～\1,999","～\999","https://tabelog.com/tokyo/A1306/A130601/13007015/","東京都渋谷区千駄ヶ谷3-61-11 第二駒信ビル B1F","1510051","35.67371233789557","139.70409488319038","03-3405-4482","月・水・木・金・土・日 10:00 - 21:00 火","","40席","無","全席禁煙","予約可","喫茶店 百名店 2026","無","原宿駅から徒歩5分 原宿駅から429m","https://tblg.k-img.com/restaurant/images/Rvw/269063/640x640_rect_338ae5cb23d363365c2fba00e0871ce6.jpg","初台SC"
"BAKERY SASA","3.72","695","18671","パン","笹塚駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131808/13036943/","東京都渋谷区笹塚2-7-10 1F","1510073","35.67513238868886","139.66898205439114","03-3375-5805","月・木・金・土・日 08:00 - 19:00 水 10:00 - 17:00 火","火曜日","","無","全席禁煙","予約不可","パン 百名店 2022","無","笹塚駅 徒歩２分 笹塚駅から209m","https://tblg.k-img.com/restaurant/images/Rvw/355594/640x640_rect_46177f0a89318b9b66070c76026db9a8.jpg","初台SC"
"焼鳥今井","3.72","693","65493","焼き鳥","外苑前駅","\10,000～\14,999","-","https://tabelog.com/tokyo/A1306/A130603/13025995/","東京都渋谷区神宮前3-42-11 ローザビアンカ 1F","1500001","35.671830037899895","139.7139442831645","070-8397-7655","月・火・水・木・金 17:30 - 22:30 土・日","","13席","無 カウンター7席、テーブル席4名掛け1卓、2名掛け1卓 のご用意です。","全席禁煙 申し訳ございません。喫煙スペースのご用意がございません。","予約可","焼き鳥 百名店 2025 / 焼鳥 百名店 2022","無","東京メトロ銀座線 外苑前駅3番出口より徒歩6分 東京メトロ千代田線 表参道駅Ａ2番出口より徒歩10分 外苑前駅から384m","https://tblg.k-img.com/restaurant/images/Rvw/88170/640x640_rect_88170297.jpg","初台SC"
"ル・ルソール","3.72","583","28984","パン/洋菓子/サンドイッチ","駒場東大前駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131801/13268390/","東京都目黒区駒場3-11-6 桑野ビル 1F","1530041","35.65918291870333","139.6826223942205","03-3467-1172","火・水・木・金・土・日・祝日 09:00 - 17:00 月","月曜","","無","全席禁煙","予約不可","","無","京王電鉄 井の頭線 駒場東大前駅 西口 徒歩１分 駒場東大前駅から133m","https://tblg.k-img.com/restaurant/images/Rvw/365217/640x640_rect_e70ee61e5b3654c3e04ab47720899d96.jpg","初台SC"
"東新宿 サンラサー","3.72","533","42127","カレー","東新宿駅","-","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130401/13215551/","東京都新宿区新宿6-27-17 カノープス新宿 3Ｆ","1600022","35.69504963788311","139.70751088340356","","火・水・木・金 11:00 - 15:00 月・土・日・祝日","土日月","（立食6席→4席に変更(2020/6現在)立食5席(2022/6現在)）","無","全席禁煙","予約可","カレー 百名店 2026","無 近隣にコインパーキングあり","東京メトロ 副都心線 新宿三丁目駅 徒歩3分 都営地下鉄 大江戸線 東新宿駅 徒歩6分 ■バス 都営バス 宿74 日清食品 徒歩1分（75m） 都営バス 高71 東新宿駅 徒歩4分（320m） 都営バス 宿74 新宿五 徒歩5分（390m） 東新宿駅から318m","https://tblg.k-img.com/restaurant/images/Rvw/90706/320x320_rect_90706184.jpg","初台SC"
"食堂わた","3.72","369","40035","食堂","新宿御苑前駅","\10,000～\14,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130402/13301720/","東京都新宿区新宿1-19-11  クサマビル 1F","1600022","35.68980823508177","139.71302671911104","","月・火・水・木・金・土 18:00 - 22:00 日","","17席","無","全席禁煙","予約可","食堂 百名店 2026","無","新宿御苑前駅から247m","https://tblg.k-img.com/restaurant/images/Rvw/331185/640x640_rect_8a790b447deb51688056a6a56579949c.jpg","初台SC"
